MoveEvent(x=1737, y=416, time=1719664952.289018)
MoveEvent(x=1738, y=411, time=1719664952.2922134)
MoveEvent(x=1740, y=409, time=1719664952.2922134)
MoveEvent(x=1740, y=406, time=1719664952.2922134)
MoveEvent(x=1741, y=403, time=1719664952.2922134)
MoveEvent(x=1741, y=399, time=1719664952.2962244)
MoveEvent(x=1742, y=396, time=1719664952.2962244)
MoveEvent(x=1744, y=392, time=1719664952.2962244)
MoveEvent(x=1745, y=388, time=1719664952.2992318)
MoveEvent(x=1745, y=385, time=1719664952.300311)
MoveEvent(x=1745, y=381, time=1719664952.300311)
MoveEvent(x=1747, y=376, time=1719664952.300311)
MoveEvent(x=1747, y=372, time=1719664952.300311)
MoveEvent(x=1748, y=368, time=1719664952.304706)
MoveEvent(x=1750, y=365, time=1719664952.304706)
MoveEvent(x=1751, y=361, time=1719664952.3064492)
MoveEvent(x=1751, y=355, time=1719664952.3064492)
MoveEvent(x=1752, y=352, time=1719664952.3064492)
MoveEvent(x=1752, y=348, time=1719664952.3089516)
MoveEvent(x=1754, y=343, time=1719664952.3106422)
MoveEvent(x=1755, y=341, time=1719664952.3106422)
MoveEvent(x=1755, y=336, time=1719664952.3106422)
MoveEvent(x=1755, y=334, time=1719664952.313153)
MoveEvent(x=1757, y=329, time=1719664952.313153)
MoveEvent(x=1757, y=325, time=1719664952.313153)
MoveEvent(x=1757, y=321, time=1719664952.313153)
MoveEvent(x=1757, y=316, time=1719664952.3175008)
MoveEvent(x=1757, y=315, time=1719664952.3190084)
MoveEvent(x=1757, y=310, time=1719664952.3190084)
MoveEvent(x=1758, y=306, time=1719664952.3190084)
MoveEvent(x=1758, y=303, time=1719664952.3217938)
MoveEvent(x=1758, y=297, time=1719664952.3217938)
MoveEvent(x=1760, y=294, time=1719664952.323056)
MoveEvent(x=1760, y=290, time=1719664952.323056)
MoveEvent(x=1760, y=288, time=1719664952.323056)
MoveEvent(x=1760, y=285, time=1719664952.3262568)
MoveEvent(x=1760, y=282, time=1719664952.3262568)
MoveEvent(x=1760, y=280, time=1719664952.3288405)
MoveEvent(x=1760, y=277, time=1719664952.3294513)
MoveEvent(x=1760, y=275, time=1719664952.3304613)
MoveEvent(x=1760, y=270, time=1719664952.3304613)
MoveEvent(x=1760, y=268, time=1719664952.3304613)
MoveEvent(x=1760, y=265, time=1719664952.3304613)
MoveEvent(x=1760, y=264, time=1719664952.334478)
MoveEvent(x=1760, y=262, time=1719664952.334478)
MoveEvent(x=1760, y=261, time=1719664952.334478)
MoveEvent(x=1759, y=258, time=1719664952.334478)
MoveEvent(x=1759, y=257, time=1719664952.334478)
MoveEvent(x=1759, y=256, time=1719664952.338985)
MoveEvent(x=1758, y=253, time=1719664952.338985)
MoveEvent(x=1758, y=252, time=1719664952.338985)
MoveEvent(x=1758, y=251, time=1719664952.338985)
MoveEvent(x=1758, y=249, time=1719664952.342994)
MoveEvent(x=1758, y=248, time=1719664952.342994)
MoveEvent(x=1757, y=246, time=1719664952.342994)
MoveEvent(x=1757, y=245, time=1719664952.3470018)
MoveEvent(x=1756, y=244, time=1719664952.3470018)
